,DRL,Uncoded
0,5,2.0
1,1,1.0
2,5,1.0
3,4,2.0
4,5,2.0
5,6,1.0
6,2,2.0
7,3,2.0
8,5,3.0
9,2,3.0
10,4,1.0
11,4,2.0
12,3,1.0
13,4,2.0
14,2,1.0
15,3,2.0
16,8,2.0
17,7,3.0
18,4,3.0
19,2,1.0
20,1,1.0
21,2,2.0
22,4,3.0
23,3,3.0
24,4,2.0
25,10,3.0
26,6,2.0
27,2,1.0
28,2,2.0
29,7,4.0
30,7,2.0
31,3,2.0
32,2,2.0
33,2,2.0
34,4,2.0
35,12,2.0
36,2,2.0
37,3,2.0
38,4,2.0
39,3,2.0
40,4,2.0
41,2,2.0
42,4,3.0
43,4,1.0
44,5,2.0
45,2,2.0
46,3,2.0
47,4,2.0
48,3,2.0
49,8,2.0
50,2,1.0
51,2,1.0
52,6,3.0
53,3,2.0
54,3,2.0
55,3,3.0
56,5,3.0
57,2,2.0
58,2,2.0
59,3,2.0
60,3,3.0
61,11,3.0
62,6,4.0
63,6,3.0
64,3,2.0
65,2,1.0
66,4,2.0
67,1,1.0
68,3,3.0
69,1,2.0
70,6,3.0
71,4,3.0
72,2,2.0
73,4,2.0
74,3,2.0
75,3,2.0
76,2,2.0
77,1,1.0
78,4,2.0
79,4,2.0
80,6,3.0
81,4,1.0
82,4,2.0
83,4,3.0
84,3,3.0
85,8,2.0
86,12,2.0
87,3,1.0
88,3,2.0
89,10,1.0
90,5,2.0
91,2,1.0
92,2,1.0
93,8,2.0
94,3,1.0
95,5,2.0
96,4,1.0
97,2,2.0
98,9,2.0
99,5,1.0
100,3,2.0
101,5,3.0
102,4,3.0
103,3,3.0
104,2,2.0
105,5,1.0
106,6,1.0
107,2,1.0
108,4,2.0
109,2,1.0
110,7,2.0
111,5,3.0
112,5,2.0
113,4,3.0
114,1,2.0
115,2,1.0
116,2,2.0
117,3,2.0
118,6,2.0
119,7,2.0
120,8,3.0
121,5,2.0
122,3,2.0
123,5,1.0
124,6,1.0
125,4,2.0
126,2,2.0
127,2,2.0
128,2,1.0
129,5,3.0
130,2,1.0
131,8,2.0
132,3,2.0
133,3,1.0
134,10,3.0
135,6,2.0
136,4,2.0
137,2,3.0
138,7,1.0
139,3,3.0
140,6,3.0
141,6,2.0
142,3,2.0
143,2,2.0
144,6,3.0
145,2,2.0
146,3,1.0
147,1,1.0
148,4,2.0
149,2,2.0
150,3,2.0
151,2,2.0
152,5,4.0
153,4,1.0
154,2,1.0
155,3,1.0
156,5,1.0
157,2,1.0
158,4,2.0
159,2,2.0
160,5,3.0
161,2,2.0
162,4,2.0
163,5,2.0
164,5,2.0
165,6,3.0
166,5,2.0
167,6,3.0
168,5,2.0
169,3,2.0
170,3,3.0
171,11,3.0
172,5,2.0
173,5,2.0
174,11,3.0
175,5,2.0
176,4,1.0
177,3,1.0
178,6,2.0
179,2,1.0
180,2,2.0
181,8,4.0
182,2,1.0
183,6,2.0
184,3,2.0
185,4,2.0
186,4,3.0
187,3,1.0
188,5,3.0
189,6,3.0
190,5,2.0
191,3,2.0
192,6,3.0
193,4,2.0
194,6,1.0
195,8,3.0
196,5,2.0
197,2,1.0
198,4,3.0
199,4,2.0
200,2,2.0
201,1,1.0
202,3,2.0
203,3,3.0
204,5,3.0
205,1,1.0
206,1,1.0
207,4,2.0
208,2,2.0
209,3,2.0
210,1,1.0
211,6,1.0
212,2,3.0
213,4,1.0
214,7,2.0
215,6,2.0
216,4,2.0
217,15,3.0
218,6,4.0
219,8,2.0
220,3,3.0
221,5,1.0
222,6,3.0
223,14,3.0
224,2,1.0
225,3,2.0
226,3,1.0
227,2,2.0
228,1,1.0
229,6,3.0
230,7,2.0
231,6,3.0
232,3,1.0
233,8,4.0
234,6,2.0
235,4,3.0
236,4,2.0
237,2,2.0
238,4,2.0
239,2,1.0
240,3,3.0
241,6,2.0
242,8,3.0
243,4,2.0
244,4,2.0
245,2,2.0
246,15,2.0
247,4,3.0
248,1,1.0
249,5,2.0
250,3,3.0
251,3,3.0
252,1,1.0
253,3,3.0
254,3,3.0
255,4,3.0
256,5,2.0
257,5,3.0
